Total number of words is: 64017
rang       7    0,010935%
recall     7    0,010935%
record     7    0,010935%
regard     7    0,010935%
resentment 7    0,010935%
respect    7    0,010935%
returning  7    0,010935%
rising     7    0,010935%
rolled     7    0,010935%
sadness    7    0,010935%
says       7    0,010935%
scene      7    0,010935%
sentry     7    0,010935%
serious    7    0,010935%
settlement 7    0,010935%
shall      7    0,010935%
sheep      7    0,010935%
ships      7    0,010935%
shirt      7    0,010935%
shouting   7    0,010935%
soft       7    0,010935%
son        7    0,010935%
spend      7    0,010935%
sprang     7    0,010935%
started    7    0,010935%
strong     7    0,010935%
subject    7    0,010935%
summit     7    0,010935%
telling    7    0,010935%
tender     7    0,010935%
together   7    0,010935%
tone       7    0,010935%
trouble    7    0,010935%
version    7    0,010935%
visible    7    0,010935%
visit      7    0,010935%
waist      7    0,010935%
waves      7    0,010935%
west       7    0,010935%
within     7    0,010935%
worn       7    0,010935%
yawned     7    0,010935%
15         6    0,009373%
1837       6    0,009373%
22         6    0,009373%
Did        6    0,009373%
Elbrus     6    0,009373%
Everybody  6    0,009373%
Greek      6    0,009373%
Hero       6    0,009373%
Indeed     6    0,009373%
Never      6    0,009373%
Pushkin    6    0,009373%
See        6    0,009373%
St         6    0,009373%
Their      6    0,009373%
Though     6    0,009373%
absent     6    0,009373%
ago        6    0,009373%
allow      6    0,009373%
allowed    6    0,009373%
amazing    6    0,009373%
amusing    6    0,009373%
animals    6    0,009373%
answer     6    0,009373%
aside      6    0,009373%
bear       6    0,009373%
bent       6    0,009373%
beshmet    6    0,009373%
besides    6    0,009373%
bet        6    0,009373%
betrayed   6    0,009373%
boar       6    0,009373%
bravely    6    0,009373%
breast     6    0,009373%
bullets    6    0,009373%
burning    6    0,009373%
business   6    0,009373%
chair      6    0,009373%
charged    6    0,009373%
cheek      6    0,009373%
class      6    0,009373%
close      6    0,009373%
closed     6    0,009373%
coach      6    0,009373%
comedy     6    0,009373%
conduct    6    0,009373%
conquered  6    0,009373%
contempt   6    0,009373%
convinced  6    0,009373%
cool       6    0,009373%
courtyard  6    0,009373%
crags      6    0,009373%
deal       6    0,009373%
decided    6    0,009373%
dirty      6    0,009373%
ear        6    0,009373%
effectively 6    0,009373%
events     6    0,009373%
exile      6    0,009373%
fallen     6    0,009373%
famous     6    0,009373%
fashion    6    0,009373%
fence      6    0,009373%
firmly     6    0,009373%
flash      6    0,009373%
